"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Multicellular complex forming ability"
7248,P229/10,"DSM 14246, LMG 21000, JCM 12145, CIP 108226, IAM 15151, IAM 15171, LMG 19918, NBRC 103054, VKM Ac-2510",1,"Agreia pratensis",0
7253,V-108,"DSM 14215, CCM 4953, JCM 12132, CGMCC 1.7256, CIP 107635, IAM 15147, NBRC 103055",1,"Agrococcus baldri",0
7259,G-4T,"DSM 22965, MTCC 10213, JCM 19248",1,"Agrococcus carbonis",0
7256,"R-17892t 2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,"Agrococcus casei",0
7252,D-1/1a,"DSM 12453, JCM 12398, ATCC 700859, CCM 4975, CGMCC 1.7258, CIP 106287, IAM 15145, NCIMB 13599",1,"Agrococcus citreus",0
7250,2002-39/1,"DSM 9580, ATCC 700087, IFO 16126, NBRC 100415, NBRC 16126, CCUG 35514, CIP 106528, JCM 9950, CGMCC 1.7260, IAM 15121, IMSNU 22118, NCIMB 13857, VKM Ac-1839",1,"Agrococcus jenensis",0
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388",1,"Agrococcus lahaulensis",0
7257,"K 114/01","DSM 19812, LMG 24386, CCUG 58092, JCM 16026",1,"Agrococcus versicolor",0
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,"Agromyces atrinae",0
7269,,"DSM 14598, AS 4.1717, CCTCC 001012, YIM 21741, JCM 12113, BCRC 16310, CCTCC AA 001012, CGMCC 4.1717, CIP 107976, IAM 15154, KCTC 9967",1,"Agromyces aurantiacus",0
7267,65,"DSM 14596, IFO 16238, NBRC 16238, VKM Ac-2088, JCM 11433, CIP 108985, IAM 15146, KCTC 13909, NCIMB 13881",1,"Agromyces bracchium",0
7261,,"DSM 8595, ATCC 51762, IMET 11525, VKM Ac-1340, JCM 9083, CIP 103632, IAM 15140, IFO 15780, LMG 16155, NBRC 15780",1,"Agromyces cerinus subsp. cerinus",0
7283,,"DSM 22059, CCM 7623, KCTC 19578, CPCC 202695, JCM 30488, NBRC 109064",1,"Agromyces flavus",0
7278,,"DSM 8597, ATCC 51764, IMET 11529, VKM Ac-1345, CCUG 35506, JCM 9085, CIP 103633, IAM 15142, IFO 15781, LMG 16156, NBRC 15781",1,"Agromyces fucosus subsp. fucosus",0
7263,,"DSM 8598, ATCC 51765, IMET 11533, VKM Ac-1352, JCM 9086, CIP 103635, IAM 15143, IFO 15782, LMG 16158, NBRC 15782",1,"Agromyces fucosus subsp. hippuratus",0
7266,8,"DSM 14595, IFO 16235, NBRC 16235, VKM Ac-2085, JCM 11431, CIP 107131, IAM 15144, KCTC 13907, NCIMB 13882",1,"Agromyces luteolus",0
7265,,"DSM 20152, ATCC 14004, JCM 3346, NCIB 7206, CIP 104860, IFO 15704, KCTC 3136, NBRC 15704, NCIMB 7206, VKM Ac-1388",1,"Agromyces mediolanus",0
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321, JCM 14322, IAM 15296, NCIMB 13990",1,"Agromyces neolithicus",0
7260,"PSU 38L","DSM 43045, ATCC 25173, KCC A-0108, JCM 3108, BCRC 12879, CIP 103037, IAM 15120, IFO 13895, IFO 13899, IMET 11027, KCTC 9232, LMG 16680, MTCC 267, NBRC 13895, NBRC 13899, NCIMB 10801, VKM Ac-1198",1,"Agromyces ramosus",0
7268,14,"DSM 14597, IFO 16236, NBRC 16236, VKM Ac-2086, JCM 11432, CIP 108986, IAM 15153, KCTC 13908",1,"Agromyces rhizosphaerae",0
7273,"108989, 20-5","DSM 16198, HKI 0320, JCM 14323, CIP 108989, IAM 15297, NCIMB 13989",1,"Agromyces salentinus",0
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298",1,"Agromyces subbeticus",0
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,"Agromyces tardus",0
,,,,,1
7270,XIL01,"DSM 15747, CIP 108592, LMG 21954, NBRC 109083, JCM 13315, IAM 15233",1,"Agromyces ulmi",0
11043,,"DSM 45001, KCTC 19149, YIM 45607, JCM 15626",1,"Aldersonia kunmingensis",0
13509,R761-7,"DSM 44149, ATCC 55061, JCM 9917, KCTC 9837, NBRC 101910, NRRL B-24461, CGMCC 4.1881, NCIMB 13433",1,"Allokutzneria albata",1
11192,I10A-01259,"DSM 45601, CPCC 203428, KCTC 19844, JCM 31480, JCM 31481",1,"Allonocardiopsis opalescens",0
159664,,"DSM 102292, KCTC 39746, CPCC 204380",1,"Allorhizocola rhizosphaerae",0
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,"Allostreptomyces psammosilenae",1
166423,M8JJ-5,"KCTC 49089, CGMCC 1.16390",1,"Amnibacterium flavum",0
7508,KSL51201-037,"DSM 24782, JCM 16463, KEMC 51201-037, KACC 15557, NBRC 109360",0,"Amnibacterium kyonggiense",0
13230,,"DSM 44262, ATCC 51368, IFO 15602, NBRC 15602, NRRL 18532, JCM 10030, IMSNU 22095, KCTC 9611",1,"Amycolatopsis alba",0
,,,,,1
159864,AU-G6,"CGMCC 4.7351, NBRC 112404",1,"Amycolatopsis antarctica",1
